batter,pitch_name,num_turns,total_hits,avg_batting,total_strikeouts,avg_strikeouts,avg_balls,avg_strikes,avg_speed,min_speed,max_speed,std_speed
Michael Conforto,4-Seam Fastball,345,37,0.1072463768115942,31,0.08985507246376812,2.1884057971014492,1.8840579710144927,94.75266977225674,87.0,102.4,2.627459828652211
Michael Conforto,Changeup,154,9,0.05844155844155844,15,0.09740259740259741,1.2857142857142858,1.577922077922078,86.88809523809523,77.7,94.60000000000001,3.420460306504408
Michael Conforto,Curveball,122,5,0.040983606557377046,14,0.11475409836065574,1.040983606557377,1.3770491803278688,80.19993169398907,70.6,87.8,3.7180920588653383
Michael Conforto,Cutter,90,4,0.044444444444444446,5,0.05555555555555555,1.3555555555555556,1.2666666666666666,90.15062962962962,83.5,98.0,2.8768774641408554
Michael Conforto,Forkball,2,0,0.0,1,0.5,2.0,2.5,83.775,83.15,84.4,0.8838834764831844
Michael Conforto,Knuckle Curve,29,3,0.10344827586206896,6,0.20689655172413793,1.0689655172413792,1.3793103448275863,83.52988505747126,77.3,89.0,3.501185681564542
Michael Conforto,Other,2,0,0.0,0,0.0,2.0,1.0,63.766666666666666,62.7,64.83333333333333,1.508494466531296
Michael Conforto,Sinker,179,10,0.055865921787709494,19,0.10614525139664804,1.7150837988826815,1.4636871508379887,93.8793389199255,83.6,99.9,2.882760948680023
Michael Conforto,Slider,160,8,0.05,19,0.11875,1.725,1.95,85.67335416666667,49.15,93.9,4.25011120826057
Michael Conforto,Slurve,4,0,0.0,0,0.0,0.75,1.0,80.25,77.9,81.4,1.6299284237863505
Michael Conforto,Split-Finger,47,2,0.0425531914893617,3,0.06382978723404255,1.2127659574468086,1.7446808510638299,86.94539007092199,80.0,99.55,4.531449019787496
Michael Conforto,Sweeper,78,5,0.0641025641025641,8,0.10256410256410256,1.6153846153846154,1.6923076923076923,83.04764957264956,77.0,87.525,2.356101002973334
Miguel Rojas,4-Seam Fastball,211,25,0.11848341232227488,14,0.06635071090047394,1.7962085308056872,1.4407582938388626,94.02238546603475,86.33333333333333,100.7,2.7153112787773432
Miguel Rojas,Changeup,90,6,0.06666666666666667,4,0.044444444444444446,1.1333333333333333,1.288888888888889,85.23435185185184,77.3,93.3,3.9375679111076347
Miguel Rojas,Curveball,61,2,0.03278688524590164,6,0.09836065573770492,0.7540983606557377,1.2622950819672132,79.40136612021858,72.7,86.8,3.8061284585982533
Miguel Rojas,Cutter,71,5,0.07042253521126761,3,0.04225352112676056,1.1408450704225352,1.028169014084507,89.04988262910798,81.7,98.1,2.9268402476448245
Miguel Rojas,Eephus,1,0,0.0,0,0.0,1.0,0.0,48.7,48.7,48.7,
Miguel Rojas,Knuckle Curve,14,2,0.14285714285714285,1,0.07142857142857142,0.7142857142857143,1.2142857142857142,82.97142857142856,76.8,87.94999999999999,3.2031663592880606
Miguel Rojas,Other,6,2,0.3333333333333333,0,0.0,1.0,0.16666666666666666,64.99166666666666,54.95,75.3,6.664864339704645
Miguel Rojas,Sinker,134,21,0.15671641791044777,5,0.03731343283582089,1.2014925373134329,0.9477611940298507,94.05463930348259,84.8,99.6,2.8456275386346275
Miguel Rojas,Slider,110,12,0.10909090909090909,10,0.09090909090909091,0.9181818181818182,1.4272727272727272,84.98048484848483,35.3,93.6,7.592236804895064
Miguel Rojas,Slurve,4,0,0.0,0,0.0,0.25,0.5,84.125,81.0,85.7,2.1313141485947122
